term,tfidf
basest,0.009301867006126657
despair,0.009301867006126657
burn,0.009301867006126657
looking,0.009301867006126657
wanting,0.009301867006126657
kept,0.009301867006126657
clear,0.009301867006126657
moon,0.009301867006126657
feeding,0.009301867006126657
razed,0.009301867006126657
haply,0.009301867006126657
advantage,0.009301867006126657
happier,0.009301867006126657
filled,0.009301867006126657
height,0.009301867006126657
chest,0.009301867006126657
daily,0.009301867006126657
means,0.009301867006126657
outlive,0.009301867006126657
bears,0.009301867006126657
bearing,0.009301867006126657
mourn,0.009301867006126657
triumph,0.009301867006126657
silence,0.009301867006126657
manners,0.009301867006126657
wert,0.009301867006126657
dark,0.009301867006126657
character,0.009301867006126657
half,0.009301867006126657
weep,0.009301867006126657
infection,0.009301867006126657
fool,0.009301867006126657
cost,0.009301867006126657
survey,0.009301867006126657
constant,0.009301867006126657
constancy,0.009301867006126657
expense,0.009301867006126657
conscience,0.009301867006126657
seasons,0.009301867006126657
conquest,0.009301867006126657
kiss,0.009301867006126657
remain,0.009301867006126657
witness,0.009301867006126657
confined,0.009301867006126657
flies,0.009301867006126657
suspect,0.009301867006126657
thinking,0.009301867006126657
soon,0.009301867006126657
maiden,0.009301867006126657
windows,0.009301867006126657
express,0.009301867006126657
taken,0.009301867006126657
eat,0.009301867006126657
proof,0.009301867006126657
gilded,0.009301867006126657
slander,0.009301867006126657
plea,0.009301867006126657
sworn,0.009301867006126657
pass,0.009301867006126657
control,0.009301867006126657
growth,0.009301867006126657
bonds,0.009301867006126657
losing,0.009301867006126657
thorns,0.009301867006126657
acquaintance,0.009301867006126657
anew,0.009301867006126657
duty,0.009301867006126657
repair,0.009301867006126657
virtuous,0.009301867006126657
eternity,0.009301867006126657
blot,0.009301867006126657
flatter,0.009301867006126657
fixed,0.009301867006126657
grave,0.009301867006126657
prize,0.009301867006126657
five,0.009301867006126657
shore,0.009301867006126657
wretch,0.009301867006126657
distilled,0.009301867006126657
amiss,0.009301867006126657
conceit,0.009301867006126657
main,0.009301867006126657
injury,0.009301867006126657
shadows,0.009301867006126657
evermore,0.009301867006126657
proved,0.009301867006126657
elsewhere,0.009301867006126657
flattery,0.009301867006126657
general,0.009301867006126657
cover,0.009301867006126657
blunt,0.008602200076904345
posterity,0.008602200076904345
forget,0.008602200076904345
action,0.008602200076904345
matter,0.008602200076904345
audit,0.008602200076904345
desert,0.008602200076904345
tend,0.008602200076904345
reasons,0.008602200076904345
confounds,0.008602200076904345
stone,0.008602200076904345
plague,0.008602200076904345
effect,0.008602200076904345
west,0.008602200076904345
haste,0.008602200076904345
minds,0.008602200076904345
esteem,0.008602200076904345
lo,0.008602200076904345
therein,0.008602200076904345
star,0.008602200076904345
alack,0.008602200076904345
growing,0.008602200076904345
speed,0.008602200076904345
flesh,0.008602200076904345
appetite,0.008602200076904345
colour,0.008602200076904345
ear,0.008602200076904345
ocean,0.008602200076904345
turn,0.008602200076904345
whereon,0.008602200076904345
flame,0.008602200076904345
vile,0.008602200076904345
fairer,0.008602200076904345
mend,0.008602200076904345
among,0.008602200076904345
content,0.008379926838923865
clock,0.008379926838923865
beside,0.008379926838923865
strongly,0.008379926838923865
curse,0.008379926838923865
addition,0.008379926838923865
presence,0.008379926838923865
confound,0.008379926838923865
feed,0.008379926838923865
measure,0.008379926838923865
betray,0.008379926838923865
hid,0.008379926838923865
sooner,0.008379926838923865
nay,0.008379926838923865
strangely,0.008379926838923865
repose,0.008379926838923865
folly,0.008379926838923865
abide,0.008379926838923865
root,0.008379926838923865
morning,0.008379926838923865
wait,0.008379926838923865
cries,0.008379926838923865
wise,0.008379926838923865
hadst,0.008379926838923865
lust,0.008379926838923865
seat,0.008379926838923865
stop,0.008379926838923865
hoboyes,0.008364675164783302
fac,0.008364675164783302
wilde,0.008364675164783302
faile,0.008364675164783302
seeke,0.008364675164783302
sprights,0.008364675164783302
doore,0.008364675164783302
applaud,0.008364675164783302
souldiers,0.008364675164783302
womans,0.008364675164783302
charg,0.008364675164783302
